release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,genres,director_name,actor_name,release_month,season,movie_profit/loss,top_actor,high_profit
2015-01-30,Black or White,9000000,21571189,21971021,2015,tt2883434,['Drama'],Mike Binder,Kevin Costner,January,Winter,12971021,False,1
2000-10-13,The Contender,9000000,17804273,17804273,2000,tt6619272,"['Documentary', 'Drama', 'Sport']",Joshua Clay Baldwin,Richard Rosendale,October,Fall,8804273,False,1
2016-11-18,The Edge of Seventeen,9000000,14431633,19096003,2016,tt1878870,"['Comedy', 'Drama']",Kelly Fremon Craig,Blake Jenner,November,Fall,10096003,False,1
2016-12-02,Jackie,9000000,13960394,36588512,2016,tt1619029,"['Biography', 'Drama', 'History']",Pablo Larraín,Peter Sarsgaard,December,Winter,27588512,False,1
2016-12-02,Jackie,9000000,13960394,36588512,2016,tt2108546,"['Comedy', 'Drama']",Antoinette Beumer,Jacob Browne,December,Winter,27588512,False,1
2016-12-02,Jackie,9000000,13960394,36588512,2016,tt2180419,"['Comedy', 'Drama', 'Romance']",Bryian Keith Montgomery Jr.,Vladimir Arutyunov,December,Winter,27588512,False,1
2011-08-12,Glee: The 3D Concert Movie,9000000,11862398,17462398,2011,tt1922612,"['Documentary', 'Music']",Jennifer Arnold,Cory Monteith,August,Summer,8462398,False,1
1989-11-08,Henry V,9000000,10161099,10176701,1989,tt7809816,"['Adventure', 'Biography', 'Drama']",Stephen Armourae,Stephen Armourae,November,Fall,1176701,False,1
2016-11-04,Loving,9000000,7710234,12898064,2016,tt2495212,"['Drama', 'Romance']",Slawomir Fabicki,Marcin Dorocinski,November,Fall,3898064,False,1
2016-11-04,Loving,9000000,7710234,12898064,2016,tt4669986,"['Biography', 'Drama', 'Romance']",Jeff Nichols,Joel Edgerton,November,Fall,3898064,False,1
2016-11-04,Loving,9000000,7710234,12898064,2016,tt5479616,"['Drama', 'Romance']",Esteban Crespo,Pol Monen,November,Fall,3898064,False,1
2000-09-29,Beautiful,9000000,3134509,3134509,2000,tt2133191,"['Biography', 'Drama', 'Family']",V.K. Prakash,Jayan Cherthala,September,Fall,-5865491,False,0
2000-09-29,Beautiful,9000000,3134509,3134509,2000,tt6077456,['Documentary'],Gabriel Manwaring,Nicolas Cage,September,Fall,-5865491,False,0
2000-09-29,Beautiful,9000000,3134509,3134509,2000,tt7594192,['Drama'],Jehan Semper,Nicolas Cage,September,Fall,-5865491,False,0
2007-06-01,Gracie,9000000,2956339,3922043,2007,tt1196939,"['Crime', 'Drama', 'Fantasy']",Jane Alexandra Foster,Tyrone Bacchus,June,Summer,-5077957,False,0
2013-03-22,The Sapphires,9000000,2450867,20395040,2013,tt1673697,"['Biography', 'Comedy', 'Drama']",Wayne Blair,Chris O'Dowd,March,Spring,11395040,False,1
2018-12-25,Destroyer,9000000,1533324,3681096,2018,tt7137380,"['Action', 'Crime', 'Drama']",Karyn Kusama,Toby Kebbell,December,Winter,-5318904,False,0
2016-05-06,Dheepan,9000000,248795,7704357,2016,tt4082068,"['Crime', 'Drama']",Jacques Audiard,Jesuthasan Antonythasan,May,Spring,-1295643,False,0
2002-10-25,All or Nothing,9000000,184255,184255,2002,tt1641918,"['Action', 'Thriller', 'War']",Craig Anderson,Jake Wooley,October,Fall,-8815745,False,0
2002-10-25,All or Nothing,9000000,184255,184255,2002,tt2758408,['Thriller'],Dave McGlone,Desmond Daly,October,Fall,-8815745,False,0
2002-10-25,All or Nothing,9000000,184255,184255,2002,tt2806500,"['Biography', 'Comedy', 'Documentary']",Criss Cheatham,Gary Douglas,October,Fall,-8815745,False,0
2002-10-25,All or Nothing,9000000,184255,184255,2002,tt3868240,"['Comedy', 'Romance']",Marta Ferencova,Petr Vanek,October,Fall,-8815745,False,0
2015-05-08,Skin Trade,9000000,1242,1242,2015,tt1576702,['Documentary'],Shannon Keith,Nicolas Cage,May,Spring,-8998758,False,0
2015-05-08,Skin Trade,9000000,1242,1242,2015,tt1641841,"['Action', 'Crime', 'Thriller']",Ekachai Uekrongtham,Dolph Lundgren,May,Spring,-8998758,False,0
2014-06-17,Beneath Hill 60,9000000,0,3440939,2014,tt1418646,"['Drama', 'History', 'War']",Jeremy Sims,Brendan Cowell,June,Summer,-5559061,False,0
2007-11-30,Awake,8600000,14373825,32968648,2007,tt6946440,['Drama'],Matthew Colston,Emmanuel K. Jackson,November,Fall,24368648,False,1
2007-11-30,Awake,8600000,14373825,32968648,2007,tt7379226,['Drama'],Rohit Dhiwar,Nicolas Cage,November,Fall,24368648,False,1
2014-10-31,Nightcrawler,8500000,32381218,50334418,2014,tt2872718,"['Crime', 'Drama', 'Thriller']",Dan Gilroy,Jake Gyllenhaal,October,Fall,41834418,False,1
2019-01-16,Dragon Ball Super: Broly,8500000,30376755,122747755,2019,tt7961060,"['Action', 'Adventure', 'Animation']",Tatsuya Nagamine,Kôichi Yamadera,January,Winter,114247755,True,1
2013-09-27,Baggage Claim,8500000,21569509,22885836,2013,tt1171222,['Comedy'],David E. Talbert,Taye Diggs,September,Fall,14385836,False,1
2016-10-07,Middle School: The Worst Years of My Life,8500000,20007149,23311293,2016,tt4981636,"['Comedy', 'Family']",Steve Carr,Griffin Gluck,October,Fall,14811293,False,1
2007-03-09,The Namesake,8500000,13610521,20288774,2007,tt7106782,['Drama'],Byung-Jo Son,Joo-Hoo Kim,March,Spring,11788774,False,1
2014-06-13,The Rover,8500000,1109199,3180252,2014,tt2345737,"['Action', 'Crime', 'Drama']",David Michôd,Guy Pearce,June,Summer,-5319748,False,0
2017-12-31,Posledniy bogatyr,8500000,0,30700192,2017,tt6175394,"['Action', 'Adventure', 'Comedy']",Dmitriy Dyachenko,Viktor Khorinyak,December,Winter,22200192,False,1
2016-11-01,A.C.O.R.N.S.: Operation Crackdown,8500000,0,1353287,2016,tt2097333,"['Animation', 'Comedy', 'Family']",Ross Venokur,Jason Jones,November,Fall,-7146713,False,0
1999-06-04,Limbo,8300000,2160710,2598224,1999,tt10428118,"['Drama', 'Thriller']",Tim Dünschede,Nicolas Cage,June,Summer,-5701776,False,0
1999-06-04,Limbo,8300000,2160710,2598224,1999,tt1523326,['Drama'],Maria Sødahl,Henrik Rafaelsen,June,Summer,-5701776,False,0
1999-06-04,Limbo,8300000,2160710,2598224,1999,tt3967248,['Drama'],Anna Sofie Hartmann,Annika Nuka Matthiasen,June,Summer,-5701776,False,0
1999-06-04,Limbo,8300000,2160710,2598224,1999,tt4732998,['Documentary'],David Gordon Green,Nicolas Cage,June,Summer,-5701776,False,0
1999-06-04,Limbo,8300000,2160710,2598224,1999,tt5287022,['Documentary'],Gustav Hofer,Nicolas Cage,June,Summer,-5701776,False,0
1999-06-04,Limbo,8300000,2160710,2598224,1999,tt7935392,"['Comedy', 'Drama', 'Horror']",Mark Young,James Purefoy,June,Summer,-5701776,False,0
1951-02-23,Quo Vadis?,8250000,30000000,30028513,1951,tt4768504,"['Drama', 'Romance']",Eduart Makri,Dana Schiemann,February,Winter,21778513,False,1
2010-09-17,Easy A,8000000,58401464,76200721,2010,tt1282140,"['Comedy', 'Drama', 'Romance']",Will Gluck,Penn Badgley,September,Fall,68200721,False,1
1986-08-08,Stand by Me,8000000,52287414,52287414,1986,tt8383596,['Drama'],Soo-in Bang,Soon-bae Cha,August,Summer,44287414,False,1
2019-05-03,The Intruder,8000000,35095904,36005871,2019,tt1773741,['Horror'],Thanadol Nualsuth,Akara Amarttayakul,May,Spring,28005871,False,1
2019-05-03,The Intruder,8000000,35095904,36005871,2019,tt6722030,"['Drama', 'Horror', 'Mystery']",Deon Taylor,Dennis Quaid,May,Spring,28005871,False,1
